PLAYER_ID,Name,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
203468,CJ McCollum,2024-25,1610612740,NOP,33.0,56,1831.6783333333333,444,1000,0.444,171,459,0.373,124,173,0.717,42,170,212,227,46,24,106,124,1183
1630595,Cade Cunningham,2024-25,1610612765,DET,23.0,66,2320.8766666666666,631,1367,0.462,141,398,0.354,295,344,0.858,53,352,405,609,68,49,295,183,1698
1631216,Caleb Houstan,2024-25,1610612753,ORL,22.0,54,680.5766666666667,67,165,0.406,57,144,0.396,13,14,0.929,15,44,59,26,17,4,9,57,204
1628997,Caleb Martin,2024-25,1610612742,DAL,29.0,40,1111.3,117,270,0.433,35,95,0.368,57,90,0.633,46,115,161,85,40,23,49,76,326
1642353,Cam Christie,2024-25,1610612746,LAC,19.0,9,43.43333333333333,5,16,0.313,2,11,0.182,1,2,0.5,1,6,7,5,3,0,2,2,13
1629629,Cam Reddish,2024-25,1610612747,LAL,25.0,33,589.45,38,94,0.404,13,47,0.277,16,26,0.615,17,49,66,22,33,10,12,43,105
1642285,Cam Spencer,2024-25,1610612763,MEM,24.0,21,200.59333333333333,24,58,0.414,13,36,0.361,17,17,1.0,9,18,27,25,6,1,5,18,78
1630560,Cam Thomas,2024-25,1610612751,BKN,23.0,25,781.1566666666666,199,454,0.438,68,195,0.349,133,151,0.881,15,68,83,94,15,2,62,44,599
1641715,Cam Whitmore,2024-25,1610612745,HOU,20.0,46,738.33,157,366,0.429,55,165,0.333,50,67,0.746,32,104,136,45,29,12,38,41,419
1629661,Cameron Johnson,2024-25,1610612751,BKN,29.0,57,1799.7633333333333,355,747,0.475,159,408,0.39,201,225,0.893,54,193,247,194,53,25,99,104,1070
1626166,Cameron Payne,2024-25,1610612752,NYK,30.0,66,980.61,165,404,0.408,87,238,0.366,43,48,0.896,13,83,96,181,36,15,46,100,460
1627747,Caris LeVert,2024-25,1610612737,ATL,30.0,59,1467.7733333333333,250,541,0.462,96,260,0.369,97,137,0.708,36,145,181,197,51,31,71,90,693
1641717,Cason Wallace,2024-25,1610612760,OKC,21.0,65,1794.8,222,467,0.475,73,201,0.363,30,36,0.833,71,153,224,170,116,35,56,140,547
1629646,Charles Bassey,2024-25,1610612759,SAS,24.0,35,372.465,68,116,0.586,0,0,0.0,21,33,0.636,56,96,152,17,14,30,23,48,157
1631096,Chet Holmgren,2024-25,1610612760,OKC,22.0,28,765.7233333333334,147,301,0.488,34,100,0.34,85,116,0.733,45,191,236,55,22,66,52,60,413
1628449,Chris Boucher,2024-25,1610612761,TOR,32.0,50,862.3,182,370,0.492,70,193,0.363,68,87,0.782,70,154,224,33,24,25,29,68,502
1630537,Chris Duarte,2024-25,1610612741,CHI,27.0,17,74.46833333333333,12,26,0.462,6,15,0.4,6,8,0.75,5,15,20,9,0,0,1,7,36
1641753,Chris Livingston,2024-25,1610612749,MIL,21.0,19,81.12666666666667,7,23,0.304,0,7,0.0,8,12,0.667,9,17,26,2,5,0,5,5,22
101108,Chris Paul,2024-25,1610612759,SAS,39.0,76,2130.8633333333332,229,535,0.428,133,347,0.383,79,84,0.94,30,245,275,574,97,19,118,137,670
1631128,Christian Braun,2024-25,1610612743,DEN,23.0,74,2496.5383333333334,439,765,0.574,81,209,0.388,165,200,0.825,95,287,382,184,82,36,76,156,1124
1631132,Christian Koloko,2024-25,1610612747,LAL,24.0,34,317.99666666666667,38,62,0.613,0,3,0.0,8,10,0.8,32,50,82,16,7,11,12,41,84
1629643,Chuma Okeke,2024-25,1610612755,PHI,26.0,7,171.41333333333333,18,33,0.545,10,22,0.455,2,3,0.667,20,23,43,13,5,3,3,5,48
203991,Clint Capela,2024-25,1610612737,ATL,30.0,55,1176.4333333333334,218,390,0.559,0,1,0.0,52,97,0.536,174,295,469,62,34,53,47,106,488
1629632,Coby White,2024-25,1610612741,CHI,25.0,69,2297.49,475,1058,0.449,207,561,0.369,248,277,0.895,24,224,248,306,66,13,163,144,1405
1628998,Cody Martin,2024-25,1610612756,PHX,29.0,48,1117.99,132,311,0.424,43,147,0.293,39,57,0.684,51,161,212,101,55,29,48,91,346
1642262,Cody Williams,2024-25,1610612762,UTA,20.0,50,1059.6116666666667,83,257,0.323,35,135,0.259,29,40,0.725,27,86,113,59,23,16,44,95,230
1641732,Colby Jones,2024-25,1610612764,WAS,22.0,34,351.045,41,83,0.494,13,35,0.371,15,23,0.652,15,40,55,26,19,11,15,28,110
1630175,Cole Anthony,2024-25,1610612753,ORL,24.0,63,1168.745,220,521,0.422,71,204,0.348,91,110,0.827,44,148,192,179,44,29,99,144,602
1631306,Cole Swider,2024-25,1610612761,TOR,25.0,7,104.5,11,40,0.275,7,32,0.219,0,1,0.0,2,9,11,1,3,1,0,10,29
1630658,Colin Castleton,2024-25,1610612755,PHI,24.0,21,320.6383333333333,30,71,0.423,2,14,0.143,23,28,0.821,36,50,86,21,7,9,22,36,85
1631221,Collin Gillespie,2024-25,1610612756,PHX,25.0,27,332.635,49,108,0.454,26,58,0.448,14,16,0.875,15,38,53,61,10,4,13,25,138
1629012,Collin Sexton,2024-25,1610612762,UTA,26.0,61,1701.4766666666667,401,837,0.479,107,264,0.405,208,241,0.863,58,108,166,253,43,6,156,139,1117
1630557,Corey Kispert,2024-25,1610612764,WAS,26.0,61,1601.5233333333333,255,565,0.451,120,330,0.364,75,88,0.852,36,145,181,103,26,14,64,98,705
202709,Cory Joseph,2024-25,1610612753,ORL,33.0,47,560.7666666666667,57,142,0.401,36,98,0.367,14,18,0.778,15,52,67,63,23,4,17,47,164
1641854,Craig Porter Jr.,2024-25,1610612739,CLE,25.0,47,415.63166666666666,54,99,0.545,16,35,0.457,15,21,0.714,13,40,53,61,16,13,25,21,139
1642385,Cui Yongxi,2024-25,1610612751,BKN,21.0,5,10.318333333333333,1,7,0.143,0,3,0.0,1,2,0.5,0,2,2,0,0,0,0,0,3
1626156,D'Angelo Russell,2024-25,1610612751,BKN,29.0,58,1480.4183333333333,249,638,0.39,113,360,0.314,121,145,0.834,20,142,162,297,56,23,108,115,732
1630618,D.J. Carton,2024-25,1610612761,TOR,24.0,4,33.38666666666666,1,7,0.143,0,3,0.0,1,1,1.0,0,4,4,3,2,0,4,1,3
1629610,DaQuan Jeffries,2024-25,1610612766,CHA,27.0,42,935.0183333333333,106,259,0.409,50,144,0.347,20,25,0.8,31,86,117,47,24,23,32,93,282
1631342,Daeqwon Plowden,2024-25,1610612737,ATL,26.0,3,33.86666666666667,8,10,0.8,6,8,0.75,2,2,1.0,3,2,5,0,0,0,1,5,24
1630227,Daishen Nix,2024-25,1610612750,MIN,23.0,3,13.233333333333333,0,1,0.0,0,1,0.0,1,2,0.5,0,4,4,3,0,0,4,1,1
1630625,Dalano Banton,2024-25,1610612757,POR,25.0,62,952.7066666666667,169,419,0.403,64,185,0.346,79,108,0.731,28,91,119,134,40,31,73,48,481
1631207,Dalen Terry,2024-25,1610612741,CHI,22.0,68,902.5316666666666,111,241,0.461,34,92,0.37,47,67,0.701,37,75,112,89,40,14,47,105,303
1642261,Dalton Knecht,2024-25,1610612747,LAL,23.0,72,1411.245,238,517,0.46,118,318,0.371,60,80,0.75,33,170,203,66,24,6,34,90,654
